repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
supabase/supabase,42446,ivasilov,coderabbitai,0.11,7,174,249,0.9,541,Core Reviewer
supabase/supabase,42444,kallebysantos,ivasilov,0.24,4,1,19,0.74,7,Core Reviewer
supabase/supabase,42438,phamhieu,coderabbitai,0.09,4,57,5,1.0,5,Core Reviewer
supabase/supabase,42437,kevcodez,phamhieu,0.1,3,4,148,0.97,137,Core Reviewer
supabase/supabase,42436,kevcodez,ignaciodob,0.27,3,30,148,0.97,137,Core Reviewer
supabase/supabase,42434,sweatybridge,alaister,0.02,3,4,74,0.95,102,Core Reviewer
supabase/supabase,42433,mattrossman,joshenlim,3.61,3,25,27,0.96,8,Core Reviewer
supabase/supabase,42431,awaseem,coderabbitai,2.39,6,177,140,0.91,257,Core Reviewer
supabase/supabase,42430,jordienr,coderabbitai,0.09,4,112,277,0.83,266,Core Reviewer
supabase/supabase,42428,ivasilov,coderabbitai,17.15,4,1611,249,0.9,541,Core Reviewer
supabase/supabase,42427,charislam,coderabbitai,0.09,5,16,366,0.92,846,Core Reviewer
supabase/supabase,42426,kiwicopple,saltcod,0.13,4,2,81,0.94,43,Core Reviewer
supabase/supabase,42425,saltcod,coderabbitai,19.21,4,79,169,0.84,298,Core Reviewer
supabase/supabase,42424,fsansalvadore,kemaldotearth,0.07,3,28,163,0.87,139,Core Reviewer
supabase/supabase,42421,firasrashidi,ChrisChinchilla,9.98,3,1,1,1.0,0,Novice
supabase/supabase,42420,ivasilov,awaseem,0.84,3,103,249,0.9,541,Core Reviewer
supabase/supabase,42419,ivasilov,coderabbitai,0.08,5,102,249,0.9,541,Core Reviewer
supabase/supabase,42416,ivasilov,alaister,0.1,4,483,249,0.9,541,Core Reviewer
supabase/supabase,42414,supabase-supabase-autofixer,ivasilov,2.55,3,63047,0,0.0,0,Novice
supabase/supabase,42411,kiwicopple,coderabbitai,0.05,4,27,81,0.94,43,Core Reviewer
supabase/supabase,42410,ivasilov,coderabbitai,0.09,5,1690,249,0.9,541,Core Reviewer
supabase/supabase,42405,heyman333,ChrisChinchilla,312.9,2,6,1,1.0,0,Novice
supabase/supabase,42404,supabase-cli-releaser,ChrisChinchilla,20.11,3,49,0,0.0,0,Novice
supabase/supabase,42401,ana1337x,coderabbitai,0.14,4,55,10,0.8,1,Reliable Author
supabase/supabase,42400,SaxonF,joshenlim,6.35,6,219,207,0.87,52,Core Reviewer
supabase/supabase,42396,awaseem,alaister,12.96,3,221,140,0.91,257,Core Reviewer
supabase/supabase,42394,jordienr,awaseem,20.82,4,298,277,0.83,266,Core Reviewer
supabase/supabase,42392,ferhatelmas,awaseem,0.23,2,1,1,1.0,0,Novice
supabase/supabase,42391,jordienr,coderabbitai,67.58,5,529,277,0.83,266,Core Reviewer
supabase/supabase,42390,ana1337x,pamelachia,12.7,2,2,10,0.8,1,Reliable Author
supabase/supabase,42389,fsansalvadore,coderabbitai,0.1,5,66,163,0.87,139,Core Reviewer
supabase/supabase,42388,pamelachia,seanoliver,4.19,4,1740,46,1.0,123,Core Reviewer
supabase/supabase,42386,pamelachia,coderabbitai,0.14,4,178,46,1.0,123,Core Reviewer
