repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,65860,ojeytonwilliams,Sembauke,15.54,15.54,APPROVED,0.0,1,2335,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65858,majestic-owl448,Dario-DC,2.33,2.58,APPROVED,0.0,1,3,228,0.96,1798,Core Reviewer
freeCodeCamp/freeCodeCamp,65856,Jeevankumar-s,majestic-owl448,1.77,1.79,APPROVED,0.0,1,4,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65855,ojeytonwilliams,raisedadead,77.96,125.96,APPROVED,0.0,1,268,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65854,ojeytonwilliams,Sembauke,0.03,0.46,APPROVED,0.0,1,15,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65853,AdityaSingh-18,majestic-owl448,0.78,2.67,COMMENTED,0.3333,5,3,43,0.93,2,Reliable Author
freeCodeCamp/freeCodeCamp,65851,anastasiiauk,nieldakarla,252.22,365.12,APPROVED,0.0,2,552,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65850,Sembauke,raisedadead,79.27,127.28,APPROVED,0.0,1,21,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,65849,Sembauke,ojeytonwilliams,2.48,2.88,APPROVED,0.0,1,12,242,0.78,923,Core Reviewer
freeCodeCamp/freeCodeCamp,65845,miyaliu666,Sembauke,196.14,292.14,APPROVED,0.0,1,5,61,0.98,23,Core Reviewer
freeCodeCamp/freeCodeCamp,65844,estefaniacn,nieldakarla,17.93,17.93,APPROVED,0.0,1,42,50,0.96,14,Core Reviewer
freeCodeCamp/freeCodeCamp,65841,Jeevankumar-s,majestic-owl448,13.43,15.13,COMMENTED,0.0714,2,14,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65838,ojeytonwilliams,copilot-pull-request-reviewer,0.02,10.08,COMMENTED,0.0,2,3,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65837,ojeytonwilliams,huyenltnguyen,1.88,2.06,APPROVED,0.0,1,1,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65835,ojeytonwilliams,huyenltnguyen,3.0,4.26,APPROVED,0.0,1,8,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65834,camperbot,majestic-owl448,1.23,1.23,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65831,Raam751,copilot-pull-request-reviewer,0.02,0.77,COMMENTED,0.0,4,2,1,1.0,0,Novice
